1	1
2	2
3	6
4	6
5	6
6	8
7	8
8	11
9	11
10	12
11	12
12	13
13	13
14	14
15	14
16	15
17	16
18	16
19	16
20	17
21	17
22	18
23	21
24	21
25	22
26	22
27	23
28	23
29	23
30	24
31	24
32	24
33	25
34	26
35	26
36	26
37	28
38	28
39	28
40	29
41	29
42	30
43	30
44	31
45	32
46	32
47	32
48	33
49	35
50	37
51	37
52	38
53	39
54	40
55	41
56	42
57	43
58	45
59	45
60	45
61	47
62	47
63	48
64	48
65	49
66	49
67	50
68	51
69	52
70	52
71	54
72	55
73	55
74	55
75	58
76	60
77	62
78	62
79	62
80	63
81	64
82	65
83	65
84	67
85	69
86	69
87	69
